date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:29	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jun%202022%2017:36:29%20GMT	https://www.indonez.com/html-demo/Wave	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave.0.delayed	(from )
18:36:31	43270/43270	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2013:04:08%20GMT	https://www.indonez.com/html-demo/Wave/	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/index.html	(from )
18:36:34	97/97	---MCZ	200	added ('OK')	text/plain	etag:W/%225a-6135f310-8da345f281be3619;;;%22	https://www.indonez.com/robots.txt		(from )
18:36:35	132804/132804	---M-Z	200	added ('OK')	application/x-javascript	etag:%22206c4-613611c8-af347c3477daaa8f;gz%22	https://www.indonez.com/html-demo/Wave/js/vendors/uikit.min.js	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/js/vendors/uikit.min.js	(from https://www.indonez.com/html-demo/Wave/)
18:36:36	241859/241859	---M-Z	200	added ('OK')	text/css	etag:%223b0c3-613611c4-512ebbe90bad098b;gz%22	https://www.indonez.com/html-demo/Wave/css/vendors/uikit.min.css	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/css/vendors/uikit.min.css	(from https://www.indonez.com/html-demo/Wave/)
18:36:36	105708/105708	---M-Z	200	added ('OK')	text/css	etag:%2219cec-613611c4-cef6999440a4a911;gz%22	https://www.indonez.com/html-demo/Wave/css/style.css	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/css/style.css	(from https://www.indonez.com/html-demo/Wave/)
18:36:37	76612/76612	---M--	200	added ('OK')	font/woff2	etag:%2212b44-613611c5-c601f1b1430ab731;;;%22	https://www.indonez.com/html-demo/Wave/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/fonts/fa-brands-400.woff2	(from https://www.indonez.com/html-demo/Wave/)
18:36:38	79444/79444	---M--	200	added ('OK')	font/woff2	etag:%2213654-613611c5-dcc9f7d0415042c2;;;%22	https://www.indonez.com/html-demo/Wave/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/fonts/fa-solid-900.woff2	(from https://www.indonez.com/html-demo/Wave/)
18:36:38	23172/23172	---M--	200	added ('OK')	font/woff2	etag:%225a84-613611c5-c25340c45e24f17;;;%22	https://www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-500.woff2	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-500.woff2	(from https://www.indonez.com/html-demo/Wave/)
18:36:39	20988/20988	---M--	200	added ('OK')	font/woff2	etag:%2251fc-613611c5-6e2e4a79e015a18c;;;%22	https://www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-300.woff2	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-300.woff2	(from https://www.indonez.com/html-demo/Wave/)
18:36:39	22656/22656	---M--	200	added ('OK')	font/woff2	etag:%225880-613611c5-6b2505e3f93a26fe;;;%22	https://www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-regular.woff2	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-regular.woff2	(from https://www.indonez.com/html-demo/Wave/)
18:36:40	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%223aee-613611c5-c6d2d91b0e2062b3;gz%22	https://www.indonez.com/html-demo/Wave/favicon.ico	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/favicon.ico	(from https://www.indonez.com/html-demo/Wave/)
18:36:41	2897/2897	---M--	200	added ('OK')	image/png	etag:%22b51-613611c4-f766a3981f6f83f7;;;%22	https://www.indonez.com/html-demo/Wave/apple-touch-icon.png	C:/My%20Web%20Sites/Flex/www.indonez.com/html-demo/Wave/apple-touch-icon.png	(from https://www.indonez.com/html-demo/Wave/)
